Task MBPP/251 gened 110 testcases, 55 of them is correct, pass rate is 0.5
Task MBPP/104 gened 110 testcases, 22 of them is correct, pass rate is 0.2
Task MBPP/383 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/307 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/166 gened 110 testcases, 15 of them is correct, pass rate is 0.13636363636363635
Task MBPP/113 gened 110 testcases, 83 of them is correct, pass rate is 0.7545454545454545
Task MBPP/465 gened 110 testcases, 27 of them is correct, pass rate is 0.24545454545454545
Task MBPP/381 gened 110 testcases, 27 of them is correct, pass rate is 0.24545454545454545
Task MBPP/220 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/398 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/377 gened 110 testcases, 39 of them is correct, pass rate is 0.35454545454545455
Task MBPP/399 gened 110 testcases, 27 of them is correct, pass rate is 0.24545454545454545
Task MBPP/146 gened 110 testcases, 12 of them is correct, pass rate is 0.10909090909090909
Task MBPP/283 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
Task MBPP/136 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/336 gened 110 testcases, 52 of them is correct, pass rate is 0.4727272727272727
Task MBPP/427 gened 110 testcases, 79 of them is correct, pass rate is 0.7181818181818181
Task MBPP/387 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/266 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/192 gened 110 testcases, 75 of them is correct, pass rate is 0.6818181818181818
Task MBPP/223 gened 110 testcases, 40 of them is correct, pass rate is 0.36363636363636365
Task MBPP/280 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/508 gened 110 testcases, 45 of them is correct, pass rate is 0.4090909090909091
Task MBPP/326 gened 110 testcases, 40 of them is correct, pass rate is 0.36363636363636365
Task MBPP/122 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/169 gened 91 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/289 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task MBPP/371 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/180 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task MBPP/276 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task MBPP/49 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task MBPP/385 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/407 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task MBPP/454 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/116 gened 110 testcases, 34 of them is correct, pass rate is 0.3090909090909091
Task MBPP/363 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/396 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/488 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/250 gened 110 testcases, 69 of them is correct, pass rate is 0.6272727272727273
Task MBPP/374 gened 93 testcases, 15 of them is correct, pass rate is 0.16129032258064516
Task MBPP/436 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/457 gened 110 testcases, 14 of them is correct, pass rate is 0.12727272727272726
Task MBPP/345 gened 110 testcases, 12 of them is correct, pass rate is 0.10909090909090909
Task MBPP/86 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/497 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task MBPP/119 gened 110 testcases, 12 of them is correct, pass rate is 0.10909090909090909
Task MBPP/455 gened 110 testcases, 37 of them is correct, pass rate is 0.33636363636363636
Task MBPP/221 gened 110 testcases, 61 of them is correct, pass rate is 0.5545454545454546
Task MBPP/40 gened 110 testcases, 22 of them is correct, pass rate is 0.2
Task MBPP/405 gened 110 testcases, 24 of them is correct, pass rate is 0.21818181818181817
Task MBPP/189 gened 110 testcases, 35 of them is correct, pass rate is 0.3181818181818182
Task MBPP/332 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task MBPP/224 gened 110 testcases, 28 of them is correct, pass rate is 0.2545454545454545
Task MBPP/249 gened 110 testcases, 37 of them is correct, pass rate is 0.33636363636363636
Task MBPP/74 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
Task MBPP/382 gened 110 testcases, 26 of them is correct, pass rate is 0.23636363636363636
Task MBPP/391 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/82 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task MBPP/401 gened 110 testcases, 10 of them is correct, pass rate is 0.09090909090909091
Task MBPP/178 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/210 gened 110 testcases, 69 of them is correct, pass rate is 0.6272727272727273
Task MBPP/482 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/187 gened 110 testcases, 7 of them is correct, pass rate is 0.06363636363636363
Task MBPP/417 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task MBPP/505 gened 110 testcases, 52 of them is correct, pass rate is 0.4727272727272727
Task MBPP/177 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task MBPP/229 gened 110 testcases, 27 of them is correct, pass rate is 0.24545454545454545
Task MBPP/490 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/173 gened 110 testcases, 46 of them is correct, pass rate is 0.41818181818181815
Task MBPP/301 gened 110 testcases, 24 of them is correct, pass rate is 0.21818181818181817
Task MBPP/120 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task MBPP/219 gened 110 testcases, 13 of them is correct, pass rate is 0.11818181818181818
Task MBPP/128 gened 110 testcases, 11 of them is correct, pass rate is 0.1
Task MBPP/115 gened 79 testcases, 55 of them is correct, pass rate is 0.6962025316455697
Task MBPP/31 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task MBPP/394 gened 110 testcases, 67 of them is correct, pass rate is 0.6090909090909091
Task MBPP/126 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/452 gened 110 testcases, 24 of them is correct, pass rate is 0.21818181818181817
Task MBPP/20 gened 110 testcases, 37 of them is correct, pass rate is 0.33636363636363636
Task MBPP/143 gened 110 testcases, 31 of them is correct, pass rate is 0.2818181818181818
Task MBPP/269 gened 110 testcases, 87 of them is correct, pass rate is 0.7909090909090909
Task MBPP/174 gened 110 testcases, 54 of them is correct, pass rate is 0.4909090909090909
Task MBPP/406 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task MBPP/302 gened 110 testcases, 10 of them is correct, pass rate is 0.09090909090909091
Task MBPP/422 gened 68 testcases, 3 of them is correct, pass rate is 0.04411764705882353
Task MBPP/372 gened 110 testcases, 68 of them is correct, pass rate is 0.6181818181818182
Task MBPP/226 gened 110 testcases, 12 of them is correct, pass rate is 0.10909090909090909
