Task HumanEval/0 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
Task HumanEval/1 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task HumanEval/2 gened 110 testcases, 35 of them is correct, pass rate is 0.3181818181818182
Task HumanEval/3 gened 110 testcases, 68 of them is correct, pass rate is 0.6181818181818182
Task HumanEval/4 gened 110 testcases, 21 of them is correct, pass rate is 0.19090909090909092
Task HumanEval/5 gened 110 testcases, 76 of them is correct, pass rate is 0.6909090909090909
Task HumanEval/6 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task HumanEval/7 gened 110 testcases, 49 of them is correct, pass rate is 0.44545454545454544
Task HumanEval/8 gened 110 testcases, 34 of them is correct, pass rate is 0.3090909090909091
Task HumanEval/9 gened 110 testcases, 57 of them is correct, pass rate is 0.5181818181818182
Task HumanEval/10 gened 110 testcases, 18 of them is correct, pass rate is 0.16363636363636364
Task HumanEval/11 gened 110 testcases, 40 of them is correct, pass rate is 0.36363636363636365
Task HumanEval/12 gened 110 testcases, 64 of them is correct, pass rate is 0.5818181818181818
Task HumanEval/13 gened 110 testcases, 45 of them is correct, pass rate is 0.4090909090909091
Task HumanEval/14 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
Task HumanEval/15 gened 71 testcases, 24 of them is correct, pass rate is 0.3380281690140845
Task HumanEval/16 gened 110 testcases, 49 of them is correct, pass rate is 0.44545454545454544
Task HumanEval/17 gened 110 testcases, 13 of them is correct, pass rate is 0.11818181818181818
Task HumanEval/18 gened 110 testcases, 49 of them is correct, pass rate is 0.44545454545454544
Task HumanEval/19 gened 110 testcases, 35 of them is correct, pass rate is 0.3181818181818182
Task HumanEval/20 gened 110 testcases, 31 of them is correct, pass rate is 0.2818181818181818
Task HumanEval/21 gened 110 testcases, 8 of them is correct, pass rate is 0.07272727272727272
Task HumanEval/22 gened 110 testcases, 58 of them is correct, pass rate is 0.5272727272727272
Task HumanEval/23 gened 110 testcases, 63 of them is correct, pass rate is 0.5727272727272728
Task HumanEval/24 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task HumanEval/25 gened 110 testcases, 38 of them is correct, pass rate is 0.34545454545454546
Task HumanEval/26 gened 110 testcases, 33 of them is correct, pass rate is 0.3
Task HumanEval/27 gened 110 testcases, 39 of them is correct, pass rate is 0.35454545454545455
Task HumanEval/28 gened 110 testcases, 79 of them is correct, pass rate is 0.7181818181818181
Task HumanEval/29 gened 110 testcases, 60 of them is correct, pass rate is 0.5454545454545454
Task HumanEval/30 gened 110 testcases, 70 of them is correct, pass rate is 0.6363636363636364
Task HumanEval/31 gened 110 testcases, 64 of them is correct, pass rate is 0.5818181818181818
Task HumanEval/32 gened 107 testcases, 2 of them is correct, pass rate is 0.018691588785046728
Task HumanEval/33 gened 110 testcases, 26 of them is correct, pass rate is 0.23636363636363636
Task HumanEval/34 gened 110 testcases, 53 of them is correct, pass rate is 0.4818181818181818
Task HumanEval/35 gened 110 testcases, 80 of them is correct, pass rate is 0.7272727272727273
Task HumanEval/36 gened 110 testcases, 20 of them is correct, pass rate is 0.18181818181818182
Task HumanEval/37 gened 110 testcases, 26 of them is correct, pass rate is 0.23636363636363636
Task HumanEval/38 gened 110 testcases, 10 of them is correct, pass rate is 0.09090909090909091
Task HumanEval/39 gened 60 testcases, 8 of them is correct, pass rate is 0.13333333333333333
Task HumanEval/40 gened 110 testcases, 67 of them is correct, pass rate is 0.6090909090909091
Task HumanEval/41 gened 110 testcases, 3 of them is correct, pass rate is 0.02727272727272727
Task HumanEval/42 gened 110 testcases, 64 of them is correct, pass rate is 0.5818181818181818
Task HumanEval/43 gened 110 testcases, 53 of them is correct, pass rate is 0.4818181818181818
Task HumanEval/44 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task HumanEval/45 gened 110 testcases, 27 of them is correct, pass rate is 0.24545454545454545
Task HumanEval/46 gened 67 testcases, 13 of them is correct, pass rate is 0.19402985074626866
Task HumanEval/47 gened 110 testcases, 45 of them is correct, pass rate is 0.4090909090909091
Task HumanEval/48 gened 110 testcases, 67 of them is correct, pass rate is 0.6090909090909091
Task HumanEval/49 gened 110 testcases, 19 of them is correct, pass rate is 0.17272727272727273
Task HumanEval/50 gened 110 testcases, 6 of them is correct, pass rate is 0.05454545454545454
Task HumanEval/51 gened 110 testcases, 39 of them is correct, pass rate is 0.35454545454545455
Task HumanEval/52 gened 110 testcases, 43 of them is correct, pass rate is 0.39090909090909093
Task HumanEval/53 gened 110 testcases, 87 of them is correct, pass rate is 0.7909090909090909
Task HumanEval/54 gened 110 testcases, 72 of them is correct, pass rate is 0.6545454545454545
Task HumanEval/55 gened 73 testcases, 20 of them is correct, pass rate is 0.273972602739726
Task HumanEval/56 gened 110 testcases, 59 of them is correct, pass rate is 0.5363636363636364
Task HumanEval/57 gened 110 testcases, 66 of them is correct, pass rate is 0.6
Task HumanEval/58 gened 110 testcases, 55 of them is correct, pass rate is 0.5
Task HumanEval/59 gened 110 testcases, 19 of them is correct, pass rate is 0.17272727272727273
Task HumanEval/60 gened 110 testcases, 21 of them is correct, pass rate is 0.19090909090909092
Task HumanEval/61 gened 110 testcases, 68 of them is correct, pass rate is 0.6181818181818182
Task HumanEval/62 gened 110 testcases, 18 of them is correct, pass rate is 0.16363636363636364
Task HumanEval/63 gened 88 testcases, 7 of them is correct, pass rate is 0.07954545454545454
Task HumanEval/64 gened 110 testcases, 46 of them is correct, pass rate is 0.41818181818181815
Task HumanEval/65 gened 110 testcases, 39 of them is correct, pass rate is 0.35454545454545455
Task HumanEval/66 gened 110 testcases, 19 of them is correct, pass rate is 0.17272727272727273
Task HumanEval/67 gened 110 testcases, 28 of them is correct, pass rate is 0.2545454545454545
