Task HumanEval/0 gened 77 testcases, 40 of them is correct, pass rate is 0.5194805194805194
Task HumanEval/2 gened 110 testcases, 9 of them is correct, pass rate is 0.08181818181818182
Task HumanEval/4 gened 95 testcases, 10 of them is correct, pass rate is 0.10526315789473684
Task HumanEval/5 gened 78 testcases, 7 of them is correct, pass rate is 0.08974358974358974
Task HumanEval/6 gened 110 testcases, 9 of them is correct, pass rate is 0.08181818181818182
Task HumanEval/7 gened 110 testcases, 25 of them is correct, pass rate is 0.22727272727272727
Task HumanEval/8 gened 56 testcases, 2 of them is correct, pass rate is 0.03571428571428571
Task HumanEval/9 gened 83 testcases, 30 of them is correct, pass rate is 0.3614457831325301
Task HumanEval/10 gened 0 testcases, 0 of them is correct, pass rate is 0
Task HumanEval/11 gened 70 testcases, 22 of them is correct, pass rate is 0.3142857142857143
Task HumanEval/12 gened 110 testcases, 61 of them is correct, pass rate is 0.5545454545454546
Task HumanEval/13 gened 110 testcases, 62 of them is correct, pass rate is 0.5636363636363636
Task HumanEval/14 gened 110 testcases, 14 of them is correct, pass rate is 0.12727272727272726
Task HumanEval/15 gened 22 testcases, 15 of them is correct, pass rate is 0.6818181818181818
Task HumanEval/16 gened 110 testcases, 45 of them is correct, pass rate is 0.4090909090909091
Task HumanEval/17 gened 110 testcases, 0 of them is correct, pass rate is 0.0
Task HumanEval/18 gened 110 testcases, 61 of them is correct, pass rate is 0.5545454545454546
Task HumanEval/19 gened 110 testcases, 45 of them is correct, pass rate is 0.4090909090909091
Task HumanEval/20 gened 98 testcases, 27 of them is correct, pass rate is 0.2755102040816326
Task HumanEval/21 gened 110 testcases, 2 of them is correct, pass rate is 0.01818181818181818
Task HumanEval/22 gened 110 testcases, 42 of them is correct, pass rate is 0.38181818181818183
Task HumanEval/23 gened 110 testcases, 26 of them is correct, pass rate is 0.23636363636363636
Task HumanEval/24 gened 75 testcases, 10 of them is correct, pass rate is 0.13333333333333333
Task HumanEval/25 gened 110 testcases, 17 of them is correct, pass rate is 0.15454545454545454
Task HumanEval/26 gened 110 testcases, 5 of them is correct, pass rate is 0.045454545454545456
Task HumanEval/27 gened 110 testcases, 23 of them is correct, pass rate is 0.20909090909090908
Task HumanEval/28 gened 110 testcases, 23 of them is correct, pass rate is 0.20909090909090908
Task HumanEval/29 gened 110 testcases, 46 of them is correct, pass rate is 0.41818181818181815
Task HumanEval/30 gened 110 testcases, 27 of them is correct, pass rate is 0.24545454545454545
Task HumanEval/31 gened 73 testcases, 64 of them is correct, pass rate is 0.8767123287671232
Task HumanEval/32 gened 110 testcases, 1 of them is correct, pass rate is 0.00909090909090909
Task HumanEval/33 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
