Task HumanEval/0 gened 110 testcases, 58 of them is correct, pass rate is 0.5272727272727272
Task HumanEval/1 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
Task HumanEval/2 gened 110 testcases, 50 of them is correct, pass rate is 0.45454545454545453
Task HumanEval/3 gened 110 testcases, 83 of them is correct, pass rate is 0.7545454545454545
Task HumanEval/4 gened 110 testcases, 28 of them is correct, pass rate is 0.2545454545454545
Task HumanEval/5 gened 110 testcases, 101 of them is correct, pass rate is 0.9181818181818182
Task HumanEval/6 gened 110 testcases, 48 of them is correct, pass rate is 0.43636363636363634
Task HumanEval/7 gened 110 testcases, 70 of them is correct, pass rate is 0.6363636363636364
Task HumanEval/8 gened 110 testcases, 44 of them is correct, pass rate is 0.4
Task HumanEval/9 gened 110 testcases, 69 of them is correct, pass rate is 0.6272727272727273
Task HumanEval/10 gened 110 testcases, 29 of them is correct, pass rate is 0.2636363636363636
Task HumanEval/11 gened 110 testcases, 72 of them is correct, pass rate is 0.6545454545454545
Task HumanEval/12 gened 110 testcases, 86 of them is correct, pass rate is 0.7818181818181819
Task HumanEval/13 gened 110 testcases, 75 of them is correct, pass rate is 0.6818181818181818
Task HumanEval/14 gened 110 testcases, 69 of them is correct, pass rate is 0.6272727272727273
Task HumanEval/15 gened 110 testcases, 61 of them is correct, pass rate is 0.5545454545454546
Task HumanEval/16 gened 110 testcases, 44 of them is correct, pass rate is 0.4
Task HumanEval/17 gened 110 testcases, 41 of them is correct, pass rate is 0.37272727272727274
Task HumanEval/18 gened 110 testcases, 59 of them is correct, pass rate is 0.5363636363636364
Task HumanEval/19 gened 110 testcases, 69 of them is correct, pass rate is 0.6272727272727273
Task HumanEval/20 gened 110 testcases, 55 of them is correct, pass rate is 0.5
Task HumanEval/21 gened 110 testcases, 16 of them is correct, pass rate is 0.14545454545454545
Task HumanEval/22 gened 110 testcases, 63 of them is correct, pass rate is 0.5727272727272728
Task HumanEval/23 gened 110 testcases, 65 of them is correct, pass rate is 0.5909090909090909
Task HumanEval/24 gened 110 testcases, 29 of them is correct, pass rate is 0.2636363636363636
Task HumanEval/25 gened 110 testcases, 59 of them is correct, pass rate is 0.5363636363636364
Task HumanEval/26 gened 110 testcases, 65 of them is correct, pass rate is 0.5909090909090909
Task HumanEval/27 gened 110 testcases, 64 of them is correct, pass rate is 0.5818181818181818
Task HumanEval/28 gened 110 testcases, 83 of them is correct, pass rate is 0.7545454545454545
Task HumanEval/29 gened 110 testcases, 71 of them is correct, pass rate is 0.6454545454545455
Task HumanEval/30 gened 110 testcases, 83 of them is correct, pass rate is 0.7545454545454545
Task HumanEval/31 gened 110 testcases, 78 of them is correct, pass rate is 0.7090909090909091
